,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
2525,CAN,Canada,2019-12-31,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2526,CAN,Canada,2020-01-01,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2527,CAN,Canada,2020-01-02,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2528,CAN,Canada,2020-01-03,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2529,CAN,Canada,2020-01-04,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2530,CAN,Canada,2020-01-05,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2531,CAN,Canada,2020-01-06,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2532,CAN,Canada,2020-01-07,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2533,CAN,Canada,2020-01-08,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2534,CAN,Canada,2020-01-09,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2535,CAN,Canada,2020-01-10,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2536,CAN,Canada,2020-01-11,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2537,CAN,Canada,2020-01-12,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2538,CAN,Canada,2020-01-13,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2539,CAN,Canada,2020-01-14,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2540,CAN,Canada,2020-01-15,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2541,CAN,Canada,2020-01-16,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2542,CAN,Canada,2020-01-17,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2543,CAN,Canada,2020-01-18,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
2544,CAN,Canada,2020-01-19,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5
